param,TRSL,ref age,asi,beta,b2,h10,h12,h14,h16,h18,h20,h22,h24,h26,h28,h30,h32,h34,h36,h38,d
Norway spruce,20,97,10,1495.3,1.5978,0.338,0.435,0.545,0.675,0.83,1.01,1.23,1.49,1.81,2.21,2.71,3.32,4.1,5.03,6.14,37.75098896
Scots pine,10,100,25,7395.6,1.7829,1.33,1.78,2.32,3,3.76,4.7,5.8,7.03,8.4,9.9,11.45,13.1,,,,23.80050502
Larch,,100,17.97,1529,1.3451,,,,,,,,10.55,,13.3,,16.2,,19.35,,31.39893132
Beech,,100,15,4239.3,1.7753,,,,,,,,2.23,,3.35,,5,,7.3,,34.62416741
Oak,,100,1000,8841.4,1.4317,,,,,,,,32.5,,36.8,,41,,45.2,,0.448147563
Birch,30,50,7,394,1.387,,,1.7,2.18,2.76,3.46,4.3,5.3,6.45,7.75,9.2,,,,,26.50606388
Black alder,,50,7,381.5,1.3823,,,,,,,,5.5,,8.05,,11.05,,14.35,,25.90093975
Grey alder,,50,7,278.9,1.3152,,,,,,,,7.55,,10.7,,14.1,,17.7,,21.5762
Aspen,,50,7,693.2,0.9771,,,,,,,,4.33,,5.26,,6.23,,7.3,,103.5412155
Contorta,,100,25,8016.54,1.6986,,,,,,,,5.15,,7,,9.25,,11.9,,33.8412242
Norway spruce Res,,97,10,1495.3,1.5978,0.36,0.455,0.57,0.71,0.87,1.06,1.29,1.56,1.9,2.32,2.83,3.46,4.21,5.18,6.24,37.75098896
Birch long,,50,7,394,1.387,,,1.7,2.18,2.76,3.46,4.3,5.3,6.45,7.75,9.2,10.65,,14,,26.50606388
Sitka,26,97,10,1495.3,1.5978,0.338,0.435,0.545,0.675,0.83,1.01,1.23,1.49,1.81,2.21,2.71,3.32,4.1,5.03,6.14,37.75098896
